filename,cellCount,branchSum,junctionSum,endpointSum,avgbranchSum,branchSumCell,junctionSumCell,endpointSumCell,avgbranchSumCell
11_RightCA3_3,41,570,265,289,4.565,13.902439024390244,6.463414634146342,7.048780487804878,0.11134146341463416
11_RightDG_1a,40,526,238,293,4.894,13.15,5.95,7.325,0.12235
11_RightDG_1b,29,396,189,200,3.499,13.655172413793103,6.517241379310345,6.896551724137931,0.1206551724137931
11_RightDG_2a,63,515,228,310,6.478999999999999,8.174603174603174,3.619047619047619,4.920634920634921,0.10284126984126983
11_RightDG_2b,49,530,248,277,5.587000000000001,10.816326530612244,5.061224489795919,5.653061224489796,0.11402040816326532
11_RightDG_3a,60,617,281,330,6.222,10.283333333333333,4.683333333333334,5.5,0.1037
11_RightDG_3b,36,428,200,213,4.095,11.88888888888889,5.555555555555555,5.916666666666667,0.11374999999999999
13_LeftCA1_1,50,601,284,290,5.523,12.02,5.68,5.8,0.11045999999999999
13_LeftCA1_2,49,596,274,311,5.168000000000001,12.16326530612245,5.591836734693878,6.346938775510204,0.10546938775510206
13_LeftCA1_3,48,780,367,380,4.948,16.25,7.645833333333333,7.916666666666667,0.10308333333333335
13_LeftCA3_1,34,390,183,199,3.669000000000001,11.470588235294118,5.382352941176471,5.852941176470588,0.10791176470588237
13_LeftCA3_2,42,527,241,282,4.729000000000001,12.547619047619047,5.738095238095238,6.714285714285714,0.11259523809523812
13_LeftCA3_3,30,386,178,198,3.571,12.866666666666667,5.933333333333334,6.6,0.11903333333333334
13_LeftDG_1a,48,602,280,308,5.071000000000002,12.541666666666666,5.833333333333333,6.416666666666667,0.10564583333333338
13_LeftDG_1b,31,333,152,186,3.4689999999999994,10.741935483870968,4.903225806451613,6.0,0.1119032258064516
13_LeftDG_2a,46,617,286,301,4.685,13.41304347826087,6.217391304347826,6.543478260869565,0.10184782608695651
13_LeftDG_2b,37,702,328,357,4.452000000000001,18.972972972972972,8.864864864864865,9.64864864864865,0.12032432432432434
13_LeftDG_3a,60,571,258,320,5.982999999999999,9.516666666666667,4.3,5.333333333333333,0.09971666666666665
13_LeftDG_3b,30,189,82,116,3.2310000000000003,6.3,2.7333333333333334,3.8666666666666667,0.1077
13_RightCA1_1,48,774,360,389,5.030000000000001,16.125,7.5,8.104166666666666,0.10479166666666669
13_RightCA1_2,51,471,214,266,4.916,9.235294117647058,4.196078431372549,5.215686274509804,0.0963921568627451
13_RightCA1_3,43,806,389,381,4.747,18.74418604651163,9.046511627906977,8.86046511627907,0.1103953488372093
13_RightCA3_1,33,322,147,177,3.8470000000000004,9.757575757575758,4.454545454545454,5.363636363636363,0.11657575757575758
13_RightCA3_2,40,316,140,190,4.146999999999999,7.9,3.5,4.75,0.10367499999999999
13_RightCA3_3,38,433,199,239,3.8810000000000002,11.394736842105264,5.2368421052631575,6.2894736842105265,0.10213157894736842
13_RightDG_1a,37,498,234,246,3.6340000000000012,13.45945945945946,6.324324324324325,6.648648648648648,0.09821621621621625
13_RightDG_1b,36,374,169,207,3.7859999999999996,10.38888888888889,4.694444444444445,5.75,0.10516666666666666
