,Cell count,# Branches,# Junctions,# End-points,Avg branch length,Branches/cell,Junctions/cell,End-points/cell,Avg branch length/cell
76_LeftDG_2a,83,,,,,,,,
76_LeftDG_2b,48,,,,,,,,
76_LeftDG_3a,41,,,,,,,,
76_LeftDG_3b,45,,,,,,,,
76_RightCA1_1,57,,,,,,,,
76_RightCA1_2,59,,,,,,,,
76_RightCA1_3,57,,,,,,,,
76_RightCA3_1,43,,,,,,,,
76_RightCA3_2,46,,,,,,,,
76_RightCA3_3,45,,,,,,,,
76_RightDG_1a,59,,,,,,,,
76_RightDG_1b,39,,,,,,,,
76_RightDG_2a,42,,,,,,,,
76_RightDG_2b,30,,,,,,,,
76_RightDG_3a,53,,,,,,,,
76_RightDG_3b,37,,,,,,,,
87_LeftCA1_1,88,,,,,,,,
87_LeftCA1_2,65,,,,,,,,
87_LeftCA1_3,59,,,,,,,,
87_LeftCA3_1,53,,,,,,,,
87_LeftCA3_2,49,,,,,,,,
87_LeftCA3_3,40,,,,,,,,
87_LeftDG_1a,72,,,,,,,,
87_LeftDG_1b,40,,,,,,,,
87_LeftDG_2a,56,,,,,,,,
87_LeftDG_2b,33,,,,,,,,
87_LeftDG_3a,56,,,,,,,,
87_LeftDG_3b,45,,,,,,,,
87_RightCA1_1,95,,,,,,,,
87_RightCA1_2,78,,,,,,,,
87_RightCA1_3,65,,,,,,,,
87_RightCA3_1,64,,,,,,,,
87_RightCA3_2,59,,,,,,,,
87_RightCA3_3,50,,,,,,,,
87_RightDG_1a,54,,,,,,,,
87_RightDG_1b,45,,,,,,,,
87_RightDG_2a,67,,,,,,,,
87_RightDG_2b,43,,,,,,,,
87_RightDG_3a,55,,,,,,,,
87_RightDG_3b,35,,,,,,,,
89_LeftCA1_1,78,,,,,,,,
89_LeftCA1_2,87,,,,,,,,
89_LeftCA1_3,96,,,,,,,,
89_LeftCA3_1,69,,,,,,,,
89_LeftCA3_2,96,,,,,,,,
89_LeftCA3_3,71,,,,,,,,
89_LeftDG_1a,86,,,,,,,,
89_LeftDG_1b,59,,,,,,,,
89_LeftDG_2a,105,,,,,,,,
89_LeftDG_2b,47,,,,,,,,
89_LeftDG_3a,93,,,,,,,,
89_LeftDG_3b,51,,,,,,,,
89_RightCA1_1,76,,,,,,,,
89_RightCA1_2,106,,,,,,,,
89_RightCA1_3,66,,,,,,,,
89_RightCA3_1,47,,,,,,,,
89_RightCA3_2,69,,,,,,,,
89_RightCA3_3,54,,,,,,,,
89_RightDG_1a,65,,,,,,,,
89_RightDG_1b,42,,,,,,,,
89_RightDG_2a,83,,,,,,,,
89_RightDG_2b,52,,,,,,,,
89_RightDG_3a,58,,,,,,,,
89_RightDG_3b,52,,,,,,,,
91_LeftCA1_1,67,,,,,,,,
91_LeftCA1_2,60,,,,,,,,
91_LeftCA1_3,34,,,,,,,,
91_LeftCA3_1,38,,,,,,,,
91_LeftCA3_2,60,,,,,,,,
91_LeftCA3_3,49,,,,,,,,
91_LeftDG_1a,63,,,,,,,,
91_LeftDG_1b,63,,,,,,,,
91_LeftDG_2a,74,,,,,,,,
91_LeftDG_2b,70,,,,,,,,
91_LeftDG_3a,51,,,,,,,,
91_LeftDG_3b,39,,,,,,,,
91_RightCA1_1,75,,,,,,,,
91_RightCA1_2,70,,,,,,,,
91_RightCA1_3,54,,,,,,,,
91_RightCA3_1,44,,,,,,,,
91_RightCA3_2,48,,,,,,,,
91_RightCA3_3,50,,,,,,,,
91_RightDG_1a,63,,,,,,,,
91_RightDG_1b,57,,,,,,,,
91_RightDG_2a,80,,,,,,,,
91_RightDG_2b,62,,,,,,,,
91_RightDG_3a,48,,,,,,,,
91_RightDG_3b,46,,,,,,,,
118_LeftCA1_1,57,,,,,,,,
118_LeftCA1_2,49,,,,,,,,
118_LeftCA1_3,56,,,,,,,,
118_LeftCA3_1,57,,,,,,,,
118_LeftCA3_2,48,,,,,,,,
118_LeftCA3_3,48,,,,,,,,
118_LeftDG_1a,64,,,,,,,,
